OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus
otu19398	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168
otu19399	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19400	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
otu19401	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu19402	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu19403	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19404	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA
otu19405	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystis
otu19406	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10
otu19407	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA
otu19408	Bacteria	Armatimonadota	NA	NA	NA	NA
otu19409	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
otu19410	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	NA
otu19411	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
otu19412	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera
otu19413	Bacteria	Armatimonadota	NA	NA	NA	NA
otu19414	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA
otu19415	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19416	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
otu19417	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu19418	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA
otu19419	Bacteria	GAL15	NA	NA	NA	NA
otu19420	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
otu19421	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	NA
otu19422	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
otu19423	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	NA
otu19424	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia
otu19425	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA
otu19426	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	NA
otu19427	Bacteria	Latescibacterota	NA	NA	NA	NA
otu19428	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA
otu19429	Bacteria	Myxococcota	Polyangia	Blfdi19	NA	NA
otu19430	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
otu19431	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19432	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
otu19433	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA
otu19434	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
otu19435	Bacteria	Chloroflexi	NA	NA	NA	NA
otu19436	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
otu19437	Bacteria	Actinobacteriota	Actinobacteria	0319-7L14	NA	NA
otu19438	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu19439	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA
otu19440	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA
otu19441	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu19442	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	NA
otu19443	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA
otu19444	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
otu19445	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA
otu19446	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter
otu19447	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA
otu19448	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19449	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Polycyclovorans
otu19450	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus
otu19451	Bacteria	Myxococcota	Polyangia	mle1-27	NA	NA
otu19452	Bacteria	Chloroflexi	Gitt-GS-136	NA	NA	NA
otu19453	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA
otu19454	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	G12-WMSP1
otu19455	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
otu19456	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu19457	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA
otu19458	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
otu19459	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
otu19460	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
otu19461	Bacteria	Firmicutes	Symbiobacteriia	Symbiobacteriales	Symbiobacteraceae	Symbiobacterium
otu19462	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA
otu19463	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
otu19464	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
otu19465	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
otu19466	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA
otu19467	Bacteria	Actinobacteriota	Thermoleophilia	NA	NA	NA
otu19468	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA
otu19469	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	NA
otu19470	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
otu19471	Bacteria	Chloroflexi	TK10	NA	NA	NA
otu19472	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA
otu19473	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	NA
otu19474	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Thermobacillus
otu19475	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19476	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA
otu19477	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA
otu19478	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722	NA
otu19479	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19480	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA
otu19481	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
otu19482	Bacteria	WPS-2	NA	NA	NA	NA
otu19483	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
otu19484	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
otu19485	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Thermosporothrix
otu19486	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-2
otu19487	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera
otu19488	Bacteria	Acidobacteriota	Vicinamibacteria	NA	NA	NA
otu19489	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA
otu19490	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia
otu19491	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA
otu19492	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Micropepsis
otu19493	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
otu19494	Bacteria	Elusimicrobiota	Lineage IIa	NA	NA	NA
otu19495	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu19496	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium
otu19497	Bacteria	Acidobacteriota	Subgroup 22	NA	NA	NA
otu19498	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19499	Bacteria	Myxococcota	bacteriap25	NA	NA	NA
otu19500	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10
otu19501	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NA
otu19502	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA
otu19503	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
otu19504	Bacteria	NA	NA	NA	NA	NA
otu19505	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	NA
otu19506	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA
otu19507	Bacteria	NB1-j	NA	NA	NA	NA
otu19508	Bacteria	Myxococcota	Polyangia	NA	NA	NA
otu19509	Bacteria	Myxococcota	bacteriap25	NA	NA	NA
otu19510	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19511	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula
otu19512	Bacteria	Firmicutes	Clostridia	Thermincolales	Thermincolaceae	Thermincola
otu19513	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA
otu19514	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella
otu19515	Bacteria	Gemmatimonadota	S0134 terrestrial group	NA	NA	NA
otu19516	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu19517	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA
otu19518	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA
otu19519	Bacteria	NA	NA	NA	NA	NA
otu19520	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	NA
otu19521	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ureibacillus
otu19522	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
otu19523	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA
otu19524	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
otu19525	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	NA	NA
otu19526	Bacteria	Chloroflexi	Ktedonobacteria	C0119	NA	NA
otu19527	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA
otu19528	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	NA
otu19529	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfitobacterium
otu19530	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula
otu19531	Bacteria	Acidobacteriota	Subgroup 25	NA	NA	NA
otu19532	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
otu19533	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
otu19534	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	NA
otu19535	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07
otu19536	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium
otu19537	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
otu19538	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera
