OTU_ID	E1	E2	E28	E3	E30	E7	E8	E9
otu10723	0	0	0	0	0	0	0	0
otu10724	0	0	0	5	0	0	0	0
otu10725	0	0	0	0	0	0	0	0
otu10726	0	0	0	0	0	0	0	0
otu10727	0	0	0	0	0	0	0	0
otu10728	0	0	0	0	0	0	0	0
otu10729	0	0	5	0	0	0	0	0
otu10730	0	0	0	0	0	0	0	0
otu10731	0	0	0	0	0	0	0	0
otu10732	0	0	0	0	0	0	0	0
otu10733	0	0	0	0	0	0	0	0
otu10734	0	0	0	5	0	0	0	0
otu10735	0	0	0	0	0	0	0	0
otu10736	0	0	0	0	0	0	0	0
otu10737	0	0	0	0	0	0	0	0
otu10738	0	0	0	0	0	0	0	0
otu10739	0	0	0	0	0	0	0	0
otu10740	0	0	0	0	0	0	0	0
otu10741	0	0	0	0	9	0	0	0
otu10742	0	0	18	0	0	0	0	0
otu10743	0	0	17	0	0	0	0	0
otu10744	0	0	19	0	0	0	0	0
otu10745	0	0	12	8	0	0	0	0
otu10746	0	0	8	0	0	0	0	0
otu10747	0	0	0	0	0	0	0	0
otu10748	0	0	0	0	0	0	0	0
otu10749	0	0	0	0	0	0	0	0
otu10750	0	0	0	0	0	0	0	0
otu10751	0	0	0	0	0	0	0	0
otu10752	0	0	0	0	0	0	0	0
otu10753	0	0	0	0	0	0	0	0
otu10754	0	0	0	0	0	0	0	0
otu10755	0	0	0	0	0	0	0	0
otu10756	0	0	0	0	0	0	0	0
otu10757	0	0	0	0	0	0	0	0
otu10758	0	0	0	18	0	0	0	0
otu10759	0	0	0	0	21	0	0	0
otu10760	0	0	0	0	18	0	0	0
otu10761	0	0	0	0	19	0	0	0
otu10762	0	0	0	0	21	0	0	0
otu10763	0	0	0	0	9	0	0	0
otu10764	0	0	0	0	8	0	0	0
otu10765	0	0	0	0	0	0	0	0
otu10766	0	0	0	0	0	0	0	0
otu10767	0	0	0	0	0	0	0	0
otu10768	0	0	0	0	0	0	0	0
otu10769	0	0	0	0	0	0	0	0
otu10770	0	0	0	0	0	0	0	0
otu10771	0	0	0	0	0	0	0	14
otu10772	0	0	0	0	0	0	0	4
otu10773	0	0	0	0	0	0	0	0
otu10774	0	0	0	0	0	0	0	0
otu10775	0	0	0	0	0	0	0	0
otu10776	0	0	0	0	0	0	0	0
otu10777	0	0	0	0	0	0	0	0
otu10778	0	0	0	0	0	0	0	0
otu10779	0	0	0	0	0	0	0	0
otu10780	0	0	0	0	0	0	0	0
otu10781	0	0	0	0	0	0	0	0
otu10782	0	0	0	0	0	0	4	0
otu10783	0	0	0	0	0	0	0	0
otu10784	0	0	0	0	0	0	0	0
otu10785	0	0	0	0	0	0	0	0
otu10786	0	0	0	0	0	0	0	0
otu10787	0	0	0	0	0	0	0	0
otu10788	0	0	0	0	0	0	0	0
otu10789	0	0	0	0	0	0	0	0
otu10790	0	0	0	0	0	0	0	0
otu10791	0	0	0	0	0	0	0	0
otu10792	0	0	0	0	0	0	0	14
otu10793	0	0	0	0	0	0	0	0
otu10794	0	0	0	0	0	0	0	0
otu10795	0	0	0	0	0	0	0	0
otu10796	0	0	0	0	0	4	0	8
otu10797	0	0	0	0	0	0	0	0
otu10798	0	0	0	0	0	0	0	0
otu10799	0	0	0	0	0	0	0	0
otu10800	0	0	0	0	0	0	0	0
otu10801	0	0	0	0	0	21	0	0
otu10802	0	0	0	0	0	19	0	0
otu10803	0	0	0	0	0	20	0	0
otu10804	0	0	0	0	0	8	0	0
otu10805	0	0	0	0	0	0	21	0
otu10806	0	0	0	0	0	0	20	0
otu10807	0	0	0	0	0	0	18	0
otu10808	0	0	0	0	0	0	19	0
otu10809	0	0	0	0	0	0	20	0
otu10810	0	0	0	0	0	0	21	0
otu10811	0	0	0	0	0	0	20	0
otu10812	0	0	0	0	0	0	7	0
otu10813	0	0	0	0	0	0	0	19
otu10814	0	0	0	0	0	0	0	19
otu10815	0	0	0	0	0	0	0	18
otu10816	0	0	0	0	0	0	0	20
otu10817	0	0	0	0	0	0	0	4
otu10818	0	0	0	0	0	0	0	0
otu10819	0	0	0	0	0	0	0	0
otu10820	0	0	0	0	0	0	0	0
otu10821	0	0	0	0	0	0	0	0
otu10822	0	0	0	0	0	0	0	0
otu10823	0	0	0	0	0	0	0	0
otu10824	0	0	0	0	0	0	0	0
otu10825	0	0	0	0	0	0	0	0
otu10826	0	0	0	0	0	0	0	0
otu10827	0	0	0	0	0	0	0	0
otu10828	0	0	0	0	0	0	0	0
otu10829	0	0	0	0	0	0	0	0
otu10830	0	0	0	0	0	0	0	0
otu10831	0	0	0	0	0	0	0	0
otu10832	0	0	0	0	0	0	0	0
otu10833	0	0	0	0	0	0	0	0
otu10834	0	0	0	0	0	0	0	0
otu10835	0	0	0	0	0	0	0	0
otu10836	0	0	0	0	0	0	0	0
otu10837	0	0	0	0	0	0	0	0
otu10838	0	0	0	0	0	0	0	0
otu10839	0	0	0	0	0	0	0	0
otu10840	0	0	0	0	0	0	0	0
otu10841	0	0	0	0	0	0	0	0
otu10842	0	0	0	0	0	0	0	0
otu10843	0	0	0	0	0	0	0	0
otu10844	0	0	0	0	0	0	0	0
otu10845	0	0	0	0	0	0	0	0
otu10846	0	0	0	0	0	0	0	0
otu10847	0	0	0	0	0	0	0	0
otu10848	0	0	0	0	0	0	0	0
otu10849	0	0	0	0	0	0	0	0
otu10850	0	0	0	0	0	0	0	0
otu10851	0	0	0	0	0	0	0	0
otu10852	0	0	0	0	0	0	0	0
otu10853	0	0	0	0	0	0	0	0
otu10854	0	0	0	0	0	0	0	0
otu10855	0	0	0	0	0	0	0	0
otu10856	0	0	0	0	0	0	0	0
otu10857	0	0	0	0	0	0	0	0
otu10858	0	0	0	0	0	0	0	0
otu10859	0	0	0	0	0	0	0	0
otu10860	0	0	0	0	0	0	0	0
otu10861	0	0	0	0	0	0	0	0
otu10862	0	0	0	0	0	0	0	0
otu10863	19	0	0	0	0	0	0	0
otu10864	17	0	0	0	0	0	0	0
otu10865	10	0	0	0	0	0	0	0
otu10866	8	3	0	0	0	0	0	0
otu10867	4	0	0	0	0	0	0	0
otu10868	3	0	0	0	0	0	0	0
otu10869	0	0	0	0	0	0	0	0
otu10870	0	0	0	0	0	0	0	0
otu10871	0	0	0	0	0	0	0	0
otu10872	0	0	0	0	0	0	0	0
otu10873	0	0	0	0	0	0	0	0
otu10874	0	0	0	0	0	0	0	0
otu10875	0	0	0	0	0	0	0	0
otu10876	0	0	0	0	0	0	0	0
otu10877	0	0	0	0	0	0	0	0
otu10878	0	0	0	0	0	0	0	14
otu10879	0	0	0	0	0	0	0	0
otu10880	0	0	0	0	0	0	0	0
otu10881	0	0	0	0	0	0	0	0
otu10882	0	0	0	0	0	0	0	0
otu10883	0	0	0	0	0	0	0	0
otu10884	0	0	0	0	0	0	0	0
otu10885	0	0	0	0	0	0	0	0
otu10886	0	0	0	0	0	0	0	0
otu10887	0	0	0	0	0	0	0	0
otu10888	0	0	0	0	0	0	0	0
otu10889	0	0	0	0	0	0	0	0
otu10890	0	0	0	0	10	0	0	0
otu10891	0	0	0	0	9	0	0	0
otu10892	0	0	0	0	0	0	0	0
otu10893	0	0	0	0	0	0	0	0
otu10894	0	0	0	0	0	0	0	0
otu10895	0	0	0	0	0	0	11	0
otu10896	0	0	0	0	0	0	0	0
otu10897	0	0	0	0	0	0	0	0
otu10898	0	0	0	0	0	0	0	0
otu10899	0	0	0	0	0	0	0	0
otu10900	0	0	0	0	0	0	0	0
otu10901	0	0	0	0	0	0	0	0
otu10902	0	0	0	0	0	0	0	0
otu10903	0	0	0	0	0	0	0	0
otu10904	0	0	0	0	0	0	0	0
otu10905	0	0	0	0	0	0	0	0
otu10906	0	0	0	0	0	0	0	0
otu10907	0	0	0	0	0	0	0	0
otu10908	0	0	0	0	0	0	0	8
otu10909	0	0	0	0	0	0	0	0
otu10910	0	0	0	0	0	0	0	0
otu10911	0	0	0	0	0	0	0	0
otu10912	0	0	0	0	0	0	0	0
otu10913	0	0	0	0	0	0	0	0
otu10914	0	0	0	0	0	0	0	0
otu10915	0	0	0	5	0	0	0	0
otu10916	0	0	0	0	0	0	0	0
otu10917	0	0	0	0	0	0	0	0
otu10918	0	0	0	0	0	0	0	0
otu10919	0	0	0	0	0	5	0	7
otu10920	0	0	0	0	0	0	0	0
otu10921	0	0	0	0	0	0	0	0
otu10922	0	0	0	0	5	0	0	0
otu10923	0	0	0	0	6	0	0	0
otu10924	0	0	0	0	0	0	0	0
otu10925	0	0	0	0	0	0	0	0
otu10926	0	0	0	0	0	0	0	0
otu10927	0	0	0	0	0	0	0	0
otu10928	0	0	0	0	0	0	0	0
otu10929	0	0	0	0	0	0	0	0
otu10930	0	0	0	0	0	0	0	0
otu10931	0	0	0	0	0	0	0	0
otu10932	0	0	0	0	0	0	0	0
otu10933	0	0	0	0	0	0	0	0
otu10934	0	0	0	0	0	0	0	0
otu10935	0	0	0	0	0	0	0	0
otu10936	0	0	0	0	0	0	0	0
otu10937	0	0	0	0	7	0	0	0
otu10938	0	0	0	0	0	0	0	0
otu10939	0	0	0	0	0	0	0	11
otu10940	0	0	0	0	0	0	0	0
otu10941	0	0	0	0	4	0	0	0
otu10942	0	0	0	0	0	0	0	0
otu10943	0	0	0	0	0	0	0	0
otu10944	0	0	0	0	0	0	0	0
otu10945	0	0	0	0	0	0	0	0
otu10946	0	0	0	0	0	0	0	6
otu10947	0	0	0	0	0	0	0	0
otu10948	0	0	0	0	0	0	0	0
otu10949	0	0	0	0	0	0	0	0
otu10950	0	5	0	0	0	6	0	0
otu10951	0	0	0	0	0	0	0	0
otu10952	0	0	0	0	0	0	0	0
otu10953	0	0	0	0	0	0	0	0
otu10954	0	0	0	0	0	0	0	0
otu10955	0	0	0	0	0	0	0	0
otu10956	0	0	0	0	0	0	0	0
otu10957	0	0	0	0	0	0	0	0
otu10958	0	0	0	0	0	0	0	0
otu10959	0	0	0	0	0	0	0	0
otu10960	0	0	0	0	0	0	0	0
otu10961	0	0	0	0	0	0	0	0
otu10962	0	0	0	0	0	0	0	7
otu10963	0	0	0	0	0	0	0	0
otu10964	0	0	0	0	0	0	0	0
otu10965	0	0	0	0	0	7	0	0
otu10966	0	0	0	0	0	0	0	0
otu10967	0	0	0	0	0	0	0	0
otu10968	0	0	0	0	0	0	0	0
otu10969	0	0	0	0	0	0	0	0
otu10970	0	0	0	0	0	0	0	0
otu10971	0	0	0	0	0	0	0	0
otu10972	0	0	0	0	4	0	0	0
otu10973	0	0	0	0	0	0	0	0
otu10974	0	0	0	0	0	0	0	10
otu10975	0	0	0	0	0	0	3	0
otu10976	0	0	0	0	3	0	0	0
otu10977	0	0	0	0	0	0	0	0
otu10978	0	18	0	0	0	0	0	0
otu10979	0	16	0	0	0	0	0	0
otu10980	0	19	0	0	0	0	0	0
otu10981	0	18	0	0	0	0	0	0
otu10982	0	19	0	0	0	0	0	0
otu10983	0	0	0	0	0	0	0	0
otu10984	0	0	0	0	0	0	0	0
otu10985	0	0	0	0	0	0	0	0
otu10986	0	0	0	0	0	0	0	0
otu10987	0	0	0	0	0	0	0	0
otu10988	0	0	0	0	0	0	0	0
otu10989	0	0	0	0	0	0	0	0
otu10990	0	0	0	0	0	0	0	0
otu10991	0	0	0	0	0	0	0	0
otu10992	0	0	0	0	0	0	0	0
otu10993	0	0	0	0	0	0	0	0
otu10994	0	0	0	0	0	0	0	0
otu10995	0	0	0	10	0	0	0	0
otu10996	0	0	0	0	0	0	0	0
otu10997	0	0	0	0	0	0	0	0
otu10998	0	0	0	0	0	0	0	0
otu10999	0	0	0	0	0	0	0	0
otu11000	0	0	0	0	0	0	0	0
otu11001	0	0	0	0	0	0	0	0
otu11002	0	0	0	0	0	0	0	0
otu11003	0	0	0	0	0	0	0	0
otu11004	0	0	0	0	0	0	0	0
otu11005	0	0	0	0	0	0	0	0
otu11006	0	0	0	0	0	0	0	0
otu11007	0	0	0	0	0	0	0	0
otu11008	0	0	0	0	0	0	0	0
otu11009	0	0	0	0	0	0	0	0
otu11010	0	0	0	0	0	0	0	0
otu11011	0	0	0	0	0	0	0	0
otu11012	0	0	0	0	0	0	0	0
otu11013	0	0	0	0	0	0	0	0
otu11014	0	0	0	0	0	0	0	0
otu11015	0	0	0	0	0	0	0	0
otu11016	0	0	0	0	0	0	0	0
otu11017	0	0	0	0	0	0	0	0
otu11018	0	0	0	0	0	0	0	0
otu11019	0	0	0	0	0	0	0	0
otu11020	0	0	0	0	0	0	0	0
otu11021	0	0	0	2	0	0	0	4
otu11022	0	0	0	0	0	0	0	0
otu11023	0	0	0	0	0	0	0	0
otu11024	0	0	0	0	0	0	0	0
otu11025	0	0	0	0	0	0	0	0
otu11026	0	0	0	0	0	0	0	0
otu11027	0	0	0	0	0	0	0	0
otu11028	0	0	0	0	0	0	0	0
otu11029	0	0	19	0	0	0	0	0
otu11030	0	0	18	0	0	0	0	0
otu11031	0	0	15	0	0	0	0	0
otu11032	0	0	15	0	0	0	0	0
otu11033	0	0	17	0	0	0	0	0
otu11034	0	0	0	0	0	0	0	0
otu11035	0	0	0	0	0	0	0	0
otu11036	0	0	0	0	0	0	0	0
otu11037	0	0	0	0	0	0	0	0
otu11038	0	0	0	0	0	0	0	0
otu11039	0	0	0	0	0	0	0	0
otu11040	0	0	0	0	0	0	0	0
otu11041	0	0	0	0	0	0	0	0
otu11042	0	0	0	0	0	0	0	0
otu11043	0	0	0	0	0	0	0	0
otu11044	0	0	0	18	0	0	0	0
otu11045	0	0	0	15	0	0	0	0
otu11046	0	0	0	16	0	0	0	0
otu11047	0	0	0	11	0	0	0	0
otu11048	0	0	0	0	17	0	0	0
otu11049	0	0	0	0	19	0	0	0
otu11050	0	0	0	0	11	0	0	0
otu11051	0	0	0	0	0	0	0	0
otu11052	0	0	0	0	0	0	0	0
otu11053	0	0	0	0	0	0	0	0
otu11054	0	0	0	0	0	0	0	0
otu11055	0	0	0	0	0	0	0	0
otu11056	0	0	0	0	0	0	0	0
otu11057	0	0	0	0	0	0	0	0
otu11058	0	0	0	0	0	0	0	0
otu11059	0	0	0	0	0	0	0	0
otu11060	0	0	0	0	0	0	0	0
otu11061	0	0	0	0	0	0	0	0
otu11062	0	0	0	0	0	0	0	0
otu11063	0	0	0	0	0	0	0	0
otu11064	0	0	0	0	0	0	0	0
otu11065	0	0	0	0	0	0	0	0
otu11066	0	0	0	0	0	0	0	0
otu11067	0	0	0	0	0	0	0	0
otu11068	0	0	0	0	0	0	0	0
otu11069	0	0	0	0	0	0	0	0
otu11070	0	0	0	0	0	0	0	0
otu11071	0	0	0	0	0	0	0	0
otu11072	0	0	0	0	0	0	0	0
otu11073	0	0	0	0	0	0	0	0
otu11074	0	0	0	0	0	0	0	0
otu11075	0	0	0	0	0	0	0	0
otu11076	0	0	0	0	0	0	0	0
otu11077	0	0	0	0	0	0	8	0
otu11078	0	0	0	0	0	0	0	0
otu11079	0	0	0	0	0	0	0	0
otu11080	0	0	0	0	0	0	0	0
otu11081	0	0	0	0	0	0	0	0
otu11082	0	0	0	0	0	0	0	0
otu11083	0	0	0	0	0	0	0	0
otu11084	0	0	0	0	0	0	0	0
otu11085	0	0	0	0	0	0	0	0
otu11086	0	0	0	0	0	0	0	0
otu11087	0	0	0	0	0	0	0	0
otu11088	0	0	0	0	0	0	0	0
otu11089	0	0	0	0	0	0	0	0
otu11090	0	0	0	0	0	17	0	0
otu11091	0	0	0	0	0	19	0	0
otu11092	0	0	0	0	0	18	0	0
otu11093	0	0	0	0	0	18	0	0
otu11094	0	0	0	0	0	19	0	0
otu11095	0	0	0	0	0	20	0	0
otu11096	0	0	0	0	0	17	0	0
otu11097	0	0	0	0	0	0	16	0
otu11098	0	0	0	0	0	0	18	0
otu11099	0	0	0	0	0	0	20	0
otu11100	0	0	0	0	0	0	19	0
otu11101	0	0	0	0	0	0	18	0
otu11102	0	0	0	0	0	0	13	0
otu11103	0	0	0	0	0	0	4	0
otu11104	0	0	0	0	0	0	0	18
otu11105	0	0	0	0	0	0	0	19
otu11106	0	0	0	0	0	0	0	16
otu11107	0	0	0	0	0	0	0	15
otu11108	0	0	0	0	0	0	0	3
otu11109	0	0	0	0	0	0	0	0
otu11110	0	0	0	0	0	0	0	0
otu11111	0	0	0	0	0	0	0	0
otu11112	0	0	0	0	0	0	0	0
otu11113	0	0	0	0	0	0	0	0
otu11114	0	0	0	0	0	0	0	0
otu11115	0	0	0	0	0	0	0	0
otu11116	0	0	0	0	0	0	0	0
otu11117	0	0	0	0	0	0	0	0
otu11118	0	0	0	0	0	0	0	0
otu11119	0	0	0	0	0	0	0	0
otu11120	0	0	0	0	0	0	0	0
otu11121	0	0	0	0	0	0	0	0
otu11122	0	0	0	0	0	0	0	0
otu11123	0	0	0	0	0	0	0	0
otu11124	0	0	0	0	0	0	0	0
otu11125	0	0	0	0	0	0	0	0
otu11126	0	0	0	0	0	0	0	0
otu11127	0	0	0	0	0	0	0	0
otu11128	0	0	0	0	0	0	0	0
otu11129	0	0	0	0	0	0	0	0
otu11130	0	0	0	0	0	0	0	0
otu11131	0	0	0	0	0	0	0	0
otu11132	0	0	0	0	0	0	0	0
otu11133	0	0	0	0	0	0	0	0
otu11134	0	0	0	0	0	0	0	0
otu11135	17	0	0	0	0	0	0	0
otu11136	16	0	0	0	0	0	0	0
otu11137	9	0	0	0	0	0	0	0
otu11138	4	0	0	0	0	0	0	0
otu11139	6	0	0	0	0	4	0	0
otu11140	4	0	0	0	0	0	0	0
otu11141	3	0	0	0	0	0	0	0
otu11142	0	0	0	0	0	0	0	0
otu11143	0	0	0	3	0	0	0	0
otu11144	0	0	0	0	0	0	0	0
otu11145	0	0	0	0	0	1	0	0
otu11146	0	0	0	0	0	0	0	0
otu11147	0	0	0	0	0	0	0	0
otu11148	0	0	0	0	0	0	0	0
otu11149	0	0	0	0	0	0	0	0
otu11150	0	0	0	0	0	0	0	0
otu11151	0	0	0	0	0	0	0	0
otu11152	0	0	0	0	0	0	0	0
otu11153	0	0	0	0	0	0	0	0
otu11154	0	0	0	0	0	0	0	0
otu11155	0	0	0	0	0	0	0	0
otu11156	0	0	0	0	0	0	0	0
otu11157	0	0	0	0	0	0	0	0
otu11158	0	0	0	7	0	0	0	0
otu11159	0	0	0	0	0	0	0	0
otu11160	0	0	0	0	0	0	0	0
otu11161	0	0	0	0	0	0	0	0
otu11162	0	0	0	0	0	0	0	0
otu11163	0	0	0	0	0	0	0	0
otu11164	0	0	0	0	0	0	0	0
otu11165	0	0	0	0	0	0	0	0
otu11166	0	0	0	0	0	0	0	0
otu11167	0	0	0	0	0	0	0	0
otu11168	0	0	0	0	0	0	0	0
otu11169	0	0	0	0	0	0	0	0
otu11170	0	0	0	0	0	0	0	0
otu11171	0	0	0	0	0	0	0	0
otu11172	0	0	0	0	0	0	0	0
otu11173	0	0	0	0	0	0	0	0
otu11174	0	0	0	0	0	0	0	0
otu11175	0	0	0	0	0	0	0	0
otu11176	0	0	0	0	0	0	0	0
otu11177	0	0	0	0	0	0	0	0
otu11178	0	0	0	0	0	0	0	0
otu11179	0	0	0	0	0	0	0	0
otu11180	0	0	0	0	0	0	0	0
otu11181	0	0	12	0	0	0	0	0
otu11182	0	0	0	0	0	0	0	0
otu11183	0	0	0	0	0	0	0	0
otu11184	0	0	0	0	0	0	0	0
otu11185	0	0	0	0	0	0	0	0
otu11186	0	0	0	0	0	0	0	0
otu11187	0	0	0	0	0	0	0	0
otu11188	0	0	0	0	0	0	0	0
otu11189	0	0	0	0	0	0	0	0
otu11190	0	0	0	0	0	0	0	0
otu11191	0	0	0	0	0	0	0	0
otu11192	0	0	0	0	0	0	0	0
otu11193	0	0	0	0	0	0	0	0
otu11194	0	0	0	0	0	0	0	0
otu11195	0	8	0	0	0	0	0	0
otu11196	0	0	0	0	0	0	13	0
otu11197	0	0	0	0	0	0	0	0
otu11198	0	0	0	0	0	0	0	0
otu11199	0	0	0	0	0	0	0	0
otu11200	0	0	0	0	0	0	0	0
otu11201	0	0	0	0	0	0	0	0
otu11202	0	0	0	0	0	0	0	0
otu11203	0	0	0	0	0	0	0	0
otu11204	0	0	0	0	0	0	0	0
otu11205	0	0	0	0	0	0	0	0
otu11206	0	0	0	0	0	0	0	0
otu11207	0	0	0	0	0	0	0	0
otu11208	0	0	0	0	0	0	0	0
otu11209	0	2	0	0	0	0	0	0
otu11210	0	0	0	0	0	0	5	9
otu11211	0	0	0	0	0	0	0	0
otu11212	0	0	0	0	0	0	0	0
otu11213	0	0	0	0	0	0	0	0
otu11214	0	0	0	0	0	0	0	0
otu11215	0	0	0	0	0	0	0	0
otu11216	0	0	0	0	0	0	0	0
otu11217	0	0	0	0	0	0	0	0
otu11218	0	0	0	0	0	0	0	0
otu11219	0	0	0	0	0	0	0	0
otu11220	0	0	0	0	0	0	0	0
otu11221	0	0	0	0	0	0	0	0
otu11222	0	0	0	0	0	0	0	0
otu11223	0	0	0	0	0	0	0	0
otu11224	0	0	0	0	0	0	6	0
otu11225	0	0	5	0	0	0	0	0
otu11226	0	0	0	0	0	0	0	0
otu11227	0	0	0	0	0	0	0	0
otu11228	0	0	0	0	0	0	0	0
otu11229	0	0	0	0	0	11	0	5
otu11230	0	0	0	0	0	0	0	0
otu11231	0	0	0	0	0	0	0	0
otu11232	0	0	0	0	0	0	0	0
otu11233	0	0	0	0	0	0	0	0
otu11234	0	0	0	0	0	0	0	0
otu11235	0	0	0	0	0	0	0	0
otu11236	0	0	0	0	0	0	0	0
otu11237	0	0	0	0	0	0	0	0
otu11238	0	0	0	0	0	0	0	0
otu11239	0	0	0	0	0	0	0	0
otu11240	0	0	0	0	0	0	0	0
otu11241	0	0	0	0	0	0	0	0
otu11242	0	0	0	0	0	0	0	0
otu11243	0	0	0	0	0	0	0	0
otu11244	0	0	0	0	0	0	0	0
otu11245	0	0	0	0	0	0	0	0
otu11246	0	0	0	0	0	0	0	0
otu11247	0	0	0	0	0	0	0	0
otu11248	0	0	0	0	0	0	6	0
otu11249	0	0	0	0	3	0	0	0
otu11250	0	0	0	0	0	0	0	0
otu11251	0	0	0	0	0	12	0	0
otu11252	0	0	0	0	0	0	0	0
otu11253	0	0	0	0	3	0	0	0
otu11254	0	0	0	0	0	0	0	0
otu11255	0	0	0	0	0	0	0	0
otu11256	0	0	0	0	0	0	0	0
otu11257	0	0	0	0	0	0	0	0
otu11258	0	0	0	0	0	0	0	0
otu11259	0	0	0	0	0	0	0	0
otu11260	0	0	0	0	0	0	0	0
otu11261	0	0	0	0	0	6	0	0
otu11262	0	0	0	0	0	8	0	0
otu11263	0	0	0	0	0	0	0	0
otu11264	0	0	0	0	0	0	5	3
otu11265	0	17	0	0	0	0	0	0
otu11266	0	19	0	0	0	0	0	0
otu11267	0	18	0	0	0	0	0	0
otu11268	0	17	0	0	0	0	0	0
otu11269	0	18	0	0	0	0	0	0
otu11270	0	19	0	0	0	0	0	0
otu11271	0	3	0	0	0	0	0	0
otu11272	0	4	0	0	0	0	0	0
otu11273	0	2	0	6	0	0	0	0
otu11274	0	0	0	0	0	0	0	0
otu11275	0	0	0	0	0	0	0	0
otu11276	0	0	0	0	0	0	0	0
otu11277	0	0	0	0	0	0	0	0
otu11278	0	0	0	0	0	0	0	0
otu11279	0	0	0	0	0	0	0	0
otu11280	0	0	0	0	0	0	0	0
otu11281	0	0	0	0	0	0	0	0
otu11282	0	0	0	0	0	0	0	0
otu11283	0	0	0	0	8	0	0	0
otu11284	0	0	0	0	0	0	0	0
otu11285	0	0	0	0	0	0	0	0
otu11286	0	0	0	0	0	0	0	0
otu11287	0	0	0	0	0	0	0	0
otu11288	0	0	0	0	0	0	0	0
otu11289	0	0	0	0	0	0	0	0
otu11290	0	0	0	0	0	0	0	0
otu11291	0	0	0	0	0	0	0	0
otu11292	0	0	0	0	0	0	0	0
otu11293	0	0	0	0	0	0	0	0
otu11294	0	0	0	0	0	0	0	0
otu11295	0	0	0	0	0	0	12	0
otu11296	0	0	0	0	0	0	0	0
otu11297	0	0	0	0	0	0	0	0
otu11298	0	0	0	0	0	0	0	0
otu11299	0	0	0	0	0	0	0	0
otu11300	0	0	0	0	0	0	0	0
otu11301	0	0	0	0	0	0	0	0
otu11302	0	0	0	0	0	0	0	0
otu11303	0	0	0	0	0	0	0	0
otu11304	0	0	0	0	0	0	0	0
otu11305	0	0	10	0	0	0	0	0
otu11306	0	0	0	0	0	0	0	0
otu11307	0	0	0	0	0	0	0	0
otu11308	0	0	0	0	0	0	0	0
otu11309	0	0	0	0	0	0	0	0
otu11310	0	0	0	0	0	0	0	0
otu11311	0	0	0	0	0	0	0	0
otu11312	0	0	0	0	0	0	0	0
otu11313	0	0	0	0	0	0	0	0
otu11314	0	0	0	0	0	0	0	0
otu11315	0	0	0	0	0	0	0	0
otu11316	0	0	0	0	0	0	0	0
otu11317	0	0	0	0	13	0	0	0
otu11318	0	0	0	0	0	0	3	2
otu11319	0	0	0	0	0	0	0	0
otu11320	0	0	0	0	0	0	0	0
otu11321	0	0	0	0	0	0	0	0
otu11322	0	0	0	0	0	0	0	0
otu11323	0	0	0	0	0	0	0	0
otu11324	0	0	15	0	0	0	0	0
otu11325	0	0	18	0	0	0	0	0
otu11326	0	0	18	0	0	0	0	0
otu11327	0	0	17	0	0	0	0	0
otu11328	0	0	18	0	0	0	0	0
otu11329	0	0	14	0	0	0	0	0
otu11330	0	0	11	0	0	0	0	6
otu11331	0	0	4	0	0	0	0	0
otu11332	0	0	5	0	0	0	0	0
otu11333	0	0	0	0	0	0	0	0
otu11334	0	0	0	0	0	0	0	0
otu11335	0	0	0	0	0	0	0	0
otu11336	0	0	0	0	0	0	0	0
otu11337	0	0	0	0	0	0	0	0
otu11338	0	0	0	0	0	0	0	0
otu11339	0	0	0	0	0	7	0	0
otu11340	0	0	0	0	0	12	0	0
otu11341	0	0	0	17	0	0	0	0
otu11342	0	0	0	16	0	0	0	0
otu11343	0	0	0	14	0	0	0	0
otu11344	0	0	0	15	0	0	0	0
otu11345	0	0	0	17	0	0	0	0
otu11346	0	0	0	0	19	0	0	0
otu11347	0	0	0	0	17	0	0	0
otu11348	0	0	0	0	18	0	0	0
otu11349	0	0	0	0	16	0	0	0
otu11350	0	0	0	0	10	0	0	0
otu11351	0	0	0	0	11	0	0	0
otu11352	0	0	0	0	10	0	8	0
otu11353	0	0	0	0	6	0	0	0
otu11354	0	0	0	0	8	0	0	0
otu11355	0	0	0	0	0	0	0	0
otu11356	0	0	0	0	0	0	0	0
otu11357	0	0	0	0	0	0	0	0
otu11358	0	0	0	0	0	0	0	0
otu11359	0	0	0	0	0	0	0	0
otu11360	0	0	0	0	0	0	0	0
otu11361	0	0	0	0	0	16	0	0
otu11362	0	0	0	0	0	0	0	0
otu11363	0	0	0	0	0	0	0	0
otu11364	0	0	0	0	0	0	0	0
otu11365	0	0	0	0	0	0	0	0
otu11366	0	0	0	0	0	0	0	0
otu11367	0	0	0	0	0	0	0	0
otu11368	0	0	0	0	0	0	0	10
otu11369	0	0	0	0	0	0	0	0
otu11370	0	0	0	0	0	0	0	0
otu11371	0	0	0	0	0	0	0	0
otu11372	0	0	0	0	0	0	0	0
otu11373	0	0	0	0	0	0	0	0
otu11374	0	0	0	0	0	0	0	0
otu11375	0	0	0	0	0	0	0	0
otu11376	0	0	0	0	0	0	0	0
otu11377	0	0	0	0	0	0	0	0
otu11378	0	0	0	0	0	0	0	0
otu11379	0	0	0	0	0	0	0	0
otu11380	0	0	0	0	0	0	0	0
otu11381	0	0	0	0	0	0	0	0
otu11382	0	0	0	0	0	0	0	0
otu11383	0	0	0	0	0	0	0	0
otu11384	0	0	0	0	0	0	0	0
otu11385	0	0	0	0	0	0	0	0
otu11386	0	0	0	0	0	0	0	0
otu11387	0	0	0	0	0	0	0	0
