OTU_ID	E1	E2	E28	E3	E30	E7	E8	E9
otu158	89	67	71	110	48	56	47	66
otu159	57	57	62	53	122	0	126	75
otu160	111	155	96	0	0	89	94	0
otu161	60	83	64	88	41	59	101	43
otu162	0	0	0	78	128	168	141	188
otu163	136	104	0	115	66	0	45	44
otu164	93	115	111	77	150	0	52	0
otu165	92	88	168	102	141	48	41	43
otu166	95	112	95	92	0	73	0	75
otu167	121	111	98	64	63	67	35	69
otu168	99	103	120	113	0	24	29	25
otu169	104	85	78	67	93	87	129	91
otu170	78	109	83	108	102	0	0	74
otu171	86	59	65	59	54	80	95	73
otu172	133	90	127	102	73	36	35	35
otu173	0	0	56	0	176	55	131	85
otu174	58	64	44	0	63	151	129	126
otu175	104	92	134	86	0	43	35	39
otu176	80	100	86	83	64	73	53	49
otu177	141	108	94	75	97	87	32	47
otu178	63	0	48	53	0	114	101	76
otu179	64	55	52	87	119	35	49	47
otu180	93	71	66	0	73	85	80	99
otu181	104	74	53	70	102	75	40	45
otu182	146	111	96	69	0	0	39	40
otu183	77	95	100	39	0	80	41	53
otu184	62	64	117	126	29	11	12	20
otu185	86	97	152	84	82	38	46	48
otu186	58	90	67	65	68	45	57	28
otu187	59	62	46	15	131	75	114	111
otu188	62	94	110	103	30	41	0	0
otu189	112	81	87	68	0	45	52	0
otu190	87	63	95	50	44	42	67	49
otu191	80	83	66	47	80	89	59	90
otu192	64	110	89	98	43	52	60	82
otu193	85	100	73	63	47	0	71	49
otu194	95	91	73	41	64	23	0	0
otu195	36	41	0	0	168	87	110	157
otu196	87	69	77	67	52	36	62	45
otu197	74	82	107	102	0	59	56	0
otu198	75	52	41	0	0	0	79	57
otu199	110	61	107	70	0	50	49	62
otu200	123	83	80	112	31	55	0	33
otu201	97	102	51	93	0	0	35	38
otu202	51	37	70	0	112	41	54	53
otu203	100	126	115	36	62	41	51	32
otu204	0	0	0	0	202	74	65	103
otu205	63	83	39	80	35	89	89	85
otu206	103	106	130	109	0	0	0	0
otu207	74	70	86	58	0	62	81	90
otu208	93	76	101	88	57	63	53	47
otu209	79	77	0	118	48	85	52	83
otu210	73	59	61	56	60	43	53	54
otu211	62	52	53	56	69	55	47	56
otu212	30	59	49	22	179	76	99	94
otu213	97	80	128	80	15	54	0	48
otu214	100	72	44	105	23	0	65	49
otu215	86	82	96	76	33	35	22	42
otu216	143	84	101	54	34	38	48	34
otu217	52	0	31	72	97	82	39	41
otu218	77	65	102	0	210	67	116	91
otu219	21	0	0	0	170	85	61	45
otu220	87	129	89	79	0	59	96	40
